"Country_Region","Confirmed","Deaths"
"US",1851,19
"US",750,14
"US",1540,33
"US",22332,433
"US",17799,463
"US",7839,210
"US",298873,4188
"US",4226,35
"US",4775,66
"US",12857,231
"US",2430,51
"US",76458,749
"US",25344,288
"US",82890,1895
"US",21932,376
"US",44975,1049
"US",37403,790
"US",3990,72
"US",11180,128
"US",18607,509
"US",18083,314
"US",13072,113
"US",14278,405
"US",5085,120
"US",4015,97
"US",1967,25
"US",3010,0
"US",1439,65
"US",22291,449
"US",2106,25
"US",4891,48
"US",1971,30
"US",1688,44
"US",778,9
"US",1020,25
"US",166,6
"US",3244,75
"US",1245,20
"US",5433,67
"US",8062,130
"US",1492,44
"US",1145,31
"US",10250,261
"US",1016,35
"US",1054,20
"US",1000,31
"US",1963,21
"US",4454,57
"US",1588,20
"US",1732,48
"US",371,11
"US",2515,22
"US",690,37
"US",7675,126
"US",3470,39
"US",1028,19
"US",13710,239
"US",2208,3
"US",1829,47
"US",16869,132
"US",10184,66
"US",179,3
"US",14623,234
"US",652,14
"US",45028,577
"US",4126,93
"US",3179,53
"US",10236,100
"US",1289,25
"US",8453,84
"US",429,8
"US",1395,39
"US",811,8
"US",1829,16
"US",38737,532
"US",2029,51
"US",1457,63
"US",680,25
"US",4829,213
"US",8425,109
"US",811,41
"US",376,3
"US",2701,35
"US",1651,33
"US",1880,53
"US",667,13
"US",1376,43
"US",4920,77
"US",7828,128
"US",11006,81
"US",1832,26
"US",57724,790
"US",1846,38
"US",179,4
"US",5297,135
"US",4943,66
"US",1333,32
"US",1144,28
"US",58565,604
"US",3729,93
"US",18627,235
"US",680,48
"US",1884,38
"US",1482,29
"US",1556,33
"US",589,11
"US",13699,159
"US",8216,130
"US",666,17
"US",5735,73
"US",845,9
"US",1254,35
"US",1319,40
"US",567,34
"US",744,34
"US",1185,24
"US",1197,32
"US",532,10
"US",3814,122
"US",1567,33
"US",1948,31
"US",439,11
"US",514,5
"US",8766,136
"US",1977,23
"US",469,16
"US",1878,24
"US",314,10
"US",1369,26
"US",513,10
"US",1119,20
"US",551,3
"US",1380,52
"US",1622,64
"US",626,10
"US",1170,10
"US",3058,42
"US",9888,209
"US",6009,127
"US",2369,42
"US",900,14
"US",24826,348
"US",8712,111
"US",1554,33
"US",1878,20
"US",1672,33
"US",1351,21
"US",3483,46
"US",600,30
"US",1374,31
"US",100,1
"US",1151,17
"US",426,31
"US",15042,253
"US",4065,81
"US",235,2
"US",595,15
"US",683,12
"US",3762,98
"US",2266,50
"US",685,17
"US",1737,74
"US",295,9
"US",55,0
"US",1520,36
"US",541,14
"US",819,39
"US",576,35
"US",2844,85
"US",3654,81
"US",2371,70
"US",813,37
"US",510,15
"US",5051,128
"US",669,25
"US",424,19
"US",3676,6
"US",1465,42
"US",2258,82
"US",4154,59
"US",5729,92
"US",3293,83
"US",286,9
"US",1402,46
"US",2146,49
"US",89,2
"US",490,19
"US",2173,37
"US",11947,126
"US",591,35
"US",639,10
"US",640,18
"US",1162,40
"US",103,3
"US",7326,122
"US",1922,45
"US",18235,224
